Date,Open,High,Low,Close,Adj Close,Volume
12/31/2012,72.932854,76.485718,72.714287,76.024284,54.395519,164873100
1/2/2013,79.117142,79.285713,77.375717,78.432854,56.11887,140129500
1/3/2013,78.26857,78.524284,77.285713,77.442856,55.41053,88241300
1/4/2013,76.709999,76.947144,75.118568,75.285713,53.867073,148583400
1/7/2013,74.571426,75.614288,73.599998,74.842857,53.550209,121039100
1/8/2013,75.601425,75.984283,74.464287,75.044289,53.694336,114676800
1/9/2013,74.64286,75.001427,73.71286,73.871429,52.855141,101901100
1/10/2013,75.507141,75.531425,73.645714,74.78714,53.510345,150286500
1/11/2013,74.428574,75.045715,74.145714,74.328575,53.182232,87626700
1/14/2013,71.811432,72.5,71.215714,71.678574,51.286152,183551900
1/15/2013,71.185715,71.284286,69.054283,69.417145,49.668106,219193100
1/16/2013,70.662857,72.777145,70.35714,72.298569,51.729763,172701200
1/17/2013,72.901428,72.964287,71.718575,71.811432,51.381218,113419600
1/18/2013,71.21714,71.745712,70.914284,71.428574,51.107292,118230700
1/22/2013,72.080002,72.554283,70.947144,72.110001,51.594852,115386600
1/23/2013,72.687141,73.57,72.110001,73.43,52.539307,215377400
1/24/2013,65.714287,66.53286,64.321426,64.35714,46.047665,365213100
1/25/2013,64.527145,65.175713,62.142857,62.84,44.962143,302006600
1/28/2013,62.547142,64.744286,62.265713,64.261429,45.979191,196379400
1/29/2013,65.5,65.742859,64.58857,65.46714,46.841866,142789500
1/30/2013,65.285713,66.085716,64.928574,65.261429,46.694683,104288800
1/31/2013,65.28286,65.611427,64.997147,65.07,46.557709,79833600
2/1/2013,65.587143,65.639999,64.050003,64.802856,46.36657,134871100
2/4/2013,64.844284,65.134285,63.142857,63.188572,45.211544,119279300
2/5/2013,63.435715,65.677139,63.174286,65.405716,46.79792,143336900
2/6/2013,65.209999,66.64286,64.654289,65.335716,46.747833,148426600
2/7/2013,66.178574,67.14286,64.874283,66.888573,49.882107,176145200
2/8/2013,67.714287,68.401428,66.89286,67.854286,50.602283,158289600
2/11/2013,68.071426,69.277145,67.60714,68.561432,51.129639,129372600
2/12/2013,68.501427,68.91143,66.82,66.842857,49.848011,152263300
2/13/2013,66.744286,67.662857,66.174286,66.715714,49.753197,118801900
2/14/2013,66.360001,67.377144,66.288574,66.655716,49.708454,88818800
2/15/2013,66.978569,67.165718,65.702858,65.737144,49.023434,97936300
2/19/2013,65.871429,66.104286,64.835716,65.71286,49.005325,108945900
2/20/2013,65.384285,65.384285,64.114288,64.121429,47.818512,119075600
2/21/2013,63.714287,64.167145,63.259998,63.722858,47.521278,111795600
2/22/2013,64.178574,64.514282,63.799999,64.401428,48.027321,82663700
2/25/2013,64.835716,65.017143,63.224285,63.257141,47.173977,93144800
2/26/2013,63.402859,64.505714,62.522858,64.138573,47.831299,125374900
2/27/2013,64.061432,64.634285,62.950001,63.509998,47.362541,146837600
