2012-12-31,76.024284
2013-01-31,71.11748314285713
2013-02-28,65.2584217368421
2013-03-31,63.1201425
2013-04-30,59.96642822727272
2013-05-31,63.778961363636355
2013-06-30,60.79114265000002
2013-07-31,61.308181727272725
2013-08-31,69.26337645454545
2013-09-30,68.59778555000001
2013-10-31,72.10639752173913
2013-11-30,74.94521405
2013-12-31,79.95108761904763
2014-01-31,76.77795923809524
2014-02-28,75.22571410526314
2014-03-31,76.17346838095237
2014-04-30,77.29632714285715
2014-05-31,86.17081742857144
2014-06-30,91.88544257142857
2014-07-31,95.62590850000002
2014-08-31,98.43666657142859
2014-09-30,100.54857204761905
2014-10-31,101.69956573913043
2014-11-30,113.28526263157895
2014-12-31,112.41136418181817
2015-01-31,110.64150084999999
2015-02-28,125.43210478947367
2015-03-31,125.97090836363635
2015-04-30,127.29142757142857
2015-05-31,128.76149974999998
2015-06-30,127.80681745454544
2015-07-31,125.33545481818179
2015-08-31,113.39476233333332
2015-09-30,112.7976188095238
2015-10-31,113.35999999999999
2015-11-30,118.16249965000002
2015-12-31,111.72681809090909
2016-01-31,98.42894615789476
2016-02-29,95.7464999
2016-03-31,104.26727295454545
2016-04-30,106.73904780952381
2016-05-31,94.97476157142857
2016-06-30,96.62227277272729
2016-07-31,98.55649979999998
2016-08-31,107.66521813043478
2016-09-30,110.85714247619046
2016-10-31,115.70714309523811
2016-11-30,110.15428528571428
2016-12-31,114.3357144761905
2017-01-31,119.56999975000001
2017-02-28,133.71420931578945
2017-03-31,140.61782630434783
2017-04-30,142.88684157894735
2017-05-31,152.2277264090909
2017-06-30,147.83136195454543
2017-07-31,148.29949950000002
2017-08-31,159.02130595652173
2017-09-30,157.60849994999998
2017-10-31,157.81727254545453
2017-11-30,172.40619109523809
2017-12-31,171.89150005
2018-01-31,174.0052374761905
2018-02-28,167.6389472631579
2018-03-31,174.49619171428571
2018-04-30,169.8342865238095
2018-05-31,185.5368180909091
2018-06-30,188.62142876190478
2018-07-31,190.31142904761901
2018-08-31,213.34608852173915
2018-09-30,222.65909363636365
